METERID,LON,LAT
3103050,-73.9927718331,40.617034632
3071365,-73.9867633145,40.5977728195
1443448,-73.9941144425,40.748417096
1443121,-73.9941943548,40.7541209443
1443649,-73.991510292,40.7444945904
1463035,-74.0064612043,40.740561288
1443110,-73.9863856168,40.7525617884
1443499,-73.9872672259,40.7438034964
1353007,-74.0017629411,40.7460896933
1443105,-73.9877044892,40.7531196117
1323043,-74.003614316,40.7276604227
1443268,-73.9804080692,40.7475211577
1443132,-73.9906679911,40.7527496597
1443050,-73.9818851975,40.7506674247
2033001,-73.8925995203,40.8196874877
5053335,-74.1278620431,40.5647420877
3063065,-73.9479112674,40.5997033936
3103067,-73.9785264794,40.6304178038
3013543,-73.9920052336,40.6996948392
3063106,-73.9602601827,40.5986243738
3063017,-73.9608710181,40.5901092735
1323016,-74.0037285821,40.7317924223
1323063,-74.0061134633,40.7354415887
1443163,-73.9776916933,40.7471692824
1443099,-73.9928044592,40.7560694342
1443360,-73.9818487203,40.7455628832
1443412,-73.9836859462,40.7448230866
1443467,-73.9899450393,40.7457434221
1443653,-73.9908156381,40.7458129995
1443671,-73.9888732103,40.74492537
1443785,-73.9870663096,40.7540351551
1443949,-73.9856346487,40.7545553074
1443215,-73.9843074179,40.7474074474
1443593,-73.9973661448,40.744904855
1433211,-73.9752772057,40.7594186541
1353014,-74.0034524985,40.7437688198
1323052,-74.006231318,40.7335481555
1443033,-73.9908159642,40.7544326281
1443088,-73.9925742819,40.7542488933
1443196,-73.9951872733,40.7529992403
1443255,-73.9758200724,40.7490776601
1443773,-73.9961453601,40.7487055708
1443939,-73.9910262049,40.7578461851
1443501,-73.9883698853,40.7443844966
1443766,-73.9982588136,40.7458048913
1323045,-74.0073793873,40.7263718354
1443134,-73.9901265114,40.7525216821
3013016,-73.9814150848,40.6855089714
3013030,-73.9877101915,40.6881423107
3013603,-73.9824890063,40.6875141127
3013639,-73.9865754362,40.6900353862
3043025,-73.9584442586,40.6489211113
2023003,-73.9232445773,40.8174125578
1443710,-73.9813082752,40.7421062636
